KLK12	OSM
FOLH1	OSM
FCN2	OSM
PIK3CG	OSM
STAB2	OSM
CAMK1D	OSM
FLT3	OSM
KLK6	OSM
STK16	OSM
MASP1	OSM
EPHB4	OSM
MMEL1	OSM
CDC42BPB	OSM
CADM3	OSM
OCIAD1	OSM
RBP4	OSM
TLR4	OSM
PPP3R1	OSM
COLEC12	OSM
KLK14	OSM
IL5	OSM
ETHE1	OSM
DYRK3	OSM
TPM2	OSM
ZAP70	OSM
CLU	OSM
ADCYAP1-27	OSM
HSD17B1	OSM
APOD	OSM
PPIB	OSM
PDIA3	OSM
SMPDL3A	OSM
CMPK1	OSM
IL1RAPL2	OSM
PRLR	OSM
PDE2A	OSM
STK17B	OSM
MAP3K7	OSM
BCAR3	OSM
CALR	OSM
CDH15	OSM
TNFRSF11A	OSM
CRLF2	PECAM1
MMP17	PECAM1
KAT6A	PECAM1
ESR1	PECAM1
CD4	PECAM1
GAS1	PECAM1
ANGPTL3	PECAM1
EPO	PECAM1
TGFB3	PECAM1
MMP10	PECAM1
Plasmin	PECAM1
IL28A	PECAM1
GREM1	PECAM1
COL23A1	PECAM1
LTA	PECAM1
DLL1	PECAM1
TNFSF4	PSPN
PPBP-pep2	PF4
HAT1	PF4
SERPINA3	PF4
THBS1	PF4
MAPKAPK5	PF4
TF	PF4
PDGFA	PF4
PPBP-pep3	PF4
MMP3	PROS1
BMP7	PROS1
RET	PROS1
TFPI	PROS1
BMP1	PROS1
FETUB	PROS1
CFH	PROS1
TFF3	PROS1
F10	PROS1
SHBG	PROS1
CDC2	TNFRSF13B
IGFBP1	SERPINA7
RET	SERPINA7
FETUB	SERPINA7
AGT	SERPINA7
TFF3	SERPINA7
GPC3	SERPINA7
SHBG	SERPINA7
CSF3R	TNFSF18
IL1F7	TNFSF18
CD97	TNFSF18
ARG1	TNFSF18
ARSB	TNFSF18
AURKB	TNFSF18
CDK5	TNFSF18
BIRC5	TNFSF18
CDH6	TNFSF18
MASP1	TNFSF18
EPHB4	TNFSF18
LGMN	TNFSF18
PRSS27	TNFSF18
CDC42BPB	TNFSF18
OPCML	TNFSF18
KLK14	TNFSF18
SPHK2	TNFSF18
