PIM1	TACSTD2
MRC1	IL6ST
NTRK3	IL6ST
EGFR	IL6ST
CNTFR	IL6ST
CDH5	IL6ST
MET	IL6ST
CNTN1	IL6ST
TGFBR3	IL6ST
MRC2	IL6ST
LGALS3	IL6ST
ADAMTS13	IL6ST
CNTN4	IL6ST
HTRA2	IL6ST
LRIG3	IL6ST
MATN2	IL6ST
RGMB	IL6ST
FSTL3	IL6ST
INSR	IL6ST
SELE	IL6ST
CHL1	IL6ST
DKK3	IL6ST
IGF2R	IL6ST
A2M	IL6ST
MMP2	IL6ST
IGF1R	IL6ST
L1CAM	IL6ST
SPARCL1	IL6ST
CHST15	IL6ST
NCAM1	IL6ST
CDON	IL6ST
EMR2	IL6ST
NTRK2	IL6ST
ENG	IL6ST
CD55	IL6ST
GPNMB	IL6ST
NOTCH1	IL6ST
ROBO2	IL6ST
SEMA6A	IL6ST
TNFRSF21	IL6ST
ALCAM	IL6ST
PRKCZ	HMOX2
MAPT	HMOX2
GPC2	HMOX2
PRKCI	HMOX2
TGFB3	HMOX2
CD40LG	HMOX2
ARID3A	HMOX2
DYNLL1	HMOX2
ING1	HMOX2
MBD4	HMOX2
IL28A	HMOX2
GREM1	HMOX2
IL11	HMOX2
E7_HPV18	E7_HPV16
NOG	E7_HPV16
PCNA	E7_HPV16
MATK	E7_HPV16
IL20	E7_HPV16
EIF4EBP2	E7_HPV16
HSPA8	E7_HPV16
FGF12	E7_HPV16
IL23A	E7_HPV16
PSME3	E7_HPV16
MAPK9	E7_HPV16
LTBR	E7_HPV18
CDH3	E7_HPV18
OSM	E7_HPV18
TNFSF18	E7_HPV18
IL1F7	E7_HPV18
NOG	E7_HPV18
CD97	E7_HPV18
ARG1	E7_HPV18
HDAC8	E7_HPV18
CD22	E7_HPV18
CA4	E7_HPV18
CTSD	E7_HPV18
ENTPD1	E7_HPV18
FOLH1	E7_HPV18
FCN2	E7_HPV18
PGLYRP1	E7_HPV18
AURKB	E7_HPV18
STAB2	E7_HPV18
FLT3	E7_HPV18
BIRC5	E7_HPV18
NTRK1	E7_HPV18
EPHB4	E7_HPV18
LGMN	E7_HPV18
OPCML	E7_HPV18
PPP3R1	E7_HPV18
COLEC12	E7_HPV18
TPO	E7_HPV18
IL20	E7_HPV18
SYNCRIP	E7_HPV18
HSPA8	E7_HPV18
DYRK3	E7_HPV18
RASA1	E7_HPV18
SPHK2	E7_HPV18
TPM2	E7_HPV18
ZAP70	E7_HPV18
SH2D1A	E7_HPV18
ADCYAP1-27	E7_HPV18
ADCYAP1-38	E7_HPV18
HSD17B1	E7_HPV18
PDIA3	E7_HPV18
AGR2	E7_HPV18
ATP5B	E7_HPV18
RB1	E7_HPV18
PSME3	E7_HPV18
MAPK9	E7_HPV18
PDE2A	E7_HPV18
CDH15	E7_HPV18
GDI2	HSP90AA1
CAPN1	HSP90AA1
IL16	HSP90AA1
UBE2I	HSP90AA1
PTPN11	HSP90AA1
RPS6KA3	HSP90AA1
XPNPEP1	HSP90AA1
CASP3	HSP90AA1
MDH1	HSP90AA1
TPT1	HSP90AA1
ARID3A	HSP90AA1
AKR1A1	HSP90AA1
VTA1	HSP90AA1
NME2	HSP90AA1
GPI	HSP90AA1
