HIST1H1C	PRKCZ
GAS1	PRKCZ
ANGPTL3	PRKCZ
FCGR1A	PRKCZ
GPC2	PRKCZ
ABL1	PRKCZ
BCL2	PRKCZ
EPO	PRKCZ
TGFB3	PRKCZ
CDH12	PRKCZ
MMP10	PRKCZ
CAMKK1	PRKCZ
FGF4	PRKCZ
CCL13	PRKCZ
H2AFZ	PRKCZ
RBM39	PRKCZ
IL28A	PRKCZ
GREM1	PRKCZ
COL23A1	PRKCZ
CAPN1	GDI2
IL16	GDI2
SOD1	GDI2
RPS27A-UbB	GDI2
EHMT2	GDI2
AREG	GDI2
IFNG	GDI2
JAM3	GDI2
FTH1	GDI2
PTPN11	GDI2
RPS6KA3	GDI2
XPNPEP1	GDI2
CAT	GDI2
CA3	GDI2
MDH1	GDI2
PRDX1	GDI2
PSMA6	GDI2
UBE2L3	GDI2
EEF1B2	GDI2
EIF5A	GDI2
KPNB1	GDI2
PDXP	GDI2
UBE2N	GDI2
AKR1A1	GDI2
VTA1	GDI2
NME2	GDI2
PFDN5	GDI2
GPI	GDI2
NAPA	GDI2
TKT	GDI2
TPI1	GDI2
FGF16	GDI2
RPS27A	GDI2
EPB41	GDI2
HBA1	GDI2
CA1	GDI2
CRK	GDI2
ADSL	GDI2
CSNK2A1-2B	GDI2
PPIE	GDI2
STIP1	GDI2
KAT6A	ICAM3
MATN3	ICAM3
L1CAM	ICAM3
ENTPD3	ICAM3
CLEC11A	ICAM3
PLA2G7	ICAM3
CD163	ICAM3
NLGN4X	ICAM3
DLL4	PLAUR
BSG	PLAUR
CLEC11A	PLAUR
PECAM1	MAPT
CRLF2	MAPT
MMP17	MAPT
ESR1	MAPT
GAS1	MAPT
ANGPTL3	MAPT
BCL2	MAPT
EPO	MAPT
TGFB3	MAPT
CDH12	MAPT
MMP10	MAPT
H2AFZ	MAPT
IL28A	MAPT
GREM1	MAPT
TNFRSF1B	TNFRSF1A
PGLYRP1	TNFRSF1A
OLR1	TNFRSF1A
DCN	NTRK3
EGFR	NTRK3
CNTFR	NTRK3
CNTN1	NTRK3
CD109	NTRK3
CNTN4	NTRK3
LRIG3	NTRK3
CADM1	NTRK3
INSR	NTRK3
TEK	NTRK3
IGF1R	NTRK3
NCAM1	NTRK3
SLITRK5	NTRK3
ENG	NTRK3
NRCAM	NTRK3
SEMA6A	NTRK3
IgG	TNFRSF17
IL5RA	TNFRSF17
DSG2	TNFRSF17
SLAMF7	TNFRSF17
BGN	DCN
RPS27A-UbB	CAPN1
RAC1	CAPN1
IFNG	CAPN1
JAM3	CAPN1
CAMK2A	CAPN1
PTPN11	CAPN1
PRKACA	CAPN1
XPNPEP1	CAPN1
CASP3	CAPN1
PPIA	CAPN1
MDH1	CAPN1
EEF1B2	CAPN1
UBE2N	CAPN1
14-3-3	CAPN1
AKR7A2	CAPN1
AKR1A1	CAPN1
VTA1	CAPN1
NME2	CAPN1
NSFL1C	CAPN1
TKT	CAPN1
TPI1	CAPN1
RPS27A	CAPN1
CRK	CAPN1
MAPK14	CAPN1
MSN	CAPN1
PPIF	CAPN1
STIP1	CAPN1
MB	CKM
CD4	CKM
CKB-CKM	CKM
CA3	CKM
FABP3	CKM
IMPDH2	CKM
PECAM1	TDGF1
CRLF2	TDGF1
MMP17	TDGF1
GAS1	TDGF1
MET	EGFR
CNTN1	EGFR
IL19	EGFR
CNTN4	EGFR
LRIG3	EGFR
MATN2	EGFR
CHL1	EGFR
KDR	EGFR
IGF2R	EGFR
A2M	EGFR
PLG	EGFR
Thrombin	EGFR
MMP2	EGFR
NCAM1	EGFR
NTRK2	EGFR
CD55	EGFR
NOTCH1	EGFR
ROBO2	EGFR
SEMA6A	EGFR
ALCAM	EGFR
KLK11	HGF
PGLYRP1	HGF
PTPN2	HGF
OLR1	HGF
LILRB1	HGF
CXCL1	HSPD1
JAM2	HSPD1
IL1B	HSPD1
BSG	HSPD1
CD84	HSPD1
HSD17B10	HSPD1
DAPK2	HSPD1
SFN	HSPD1
PDE3A	HSPD1
CFH	C3B-inac
C1Q	IGFBP5
CX3CL1	IGFBP5
CFD	IGFBP5
IGF1	IGFBP5
DSG1	IGFBP5
CTSD	IGFBP5
KLK12	IGFBP5
CA10	IGFBP5
PAK3	IGFBP5
None	IGFBP5
Lymphotoxin-a2b1	IGFBP5
C5A	IGFBP6
CFD	IGFBP6
IGFBP4	IGFBP6
SERPINF2	IGFBP6
WISP1	IGFBP6
ADAMTS13	IGFBP6
F7	IGFBP6
C1R	IGFBP6
GFRA1	IGFBP6
SERPINA5	IGFBP6
FN1-frag3	IGFBP6
CDC42BPB	IGFBP6
OCIAD1	IGFBP6
RBP4	IGFBP6
PLG	IGFBP6
SPARCL1	IGFBP6
SERPING1	IGFBP6
ITIH4	IGFBP6
GOT1	IGFBP6
DBNL	IGFBP6
GPC5	IGFBP6
LAG3	IGFBP6
TGFBI	MIA
CST6	MIA
SLPI	MIA
CCL1	OSM
HDAC8	OSM
DSG1	OSM
ARSB	OSM
CTSD	OSM
ENTPD1	OSM
KLK12	OSM
FOLH1	OSM
FCN2	OSM
AURKB	OSM
PIK3CG	OSM
STAB2	OSM
CAMK1D	OSM
FLT3	OSM
KLK6	OSM
STK16	OSM
NTRK1	OSM
MASP1	OSM
EPHB4	OSM
MMEL1	OSM
CDC42BPB	OSM
CADM3	OSM
OCIAD1	OSM
RBP4	OSM
TLR4	OSM
PPP3R1	OSM
COLEC12	OSM
KLK14	OSM
IL5	OSM
DYRK3	OSM
TPM2	OSM
ZAP70	OSM
CLU	OSM
ADCYAP1-27	OSM
HSD17B1	OSM
APOD	OSM
PPIB	OSM
PDIA3	OSM
SMPDL3A	OSM
CMPK1	OSM
IL1RAPL2	OSM
PRLR	OSM
PDE2A	OSM
STK17B	OSM
MAP3K7	OSM
BCAR3	OSM
CALR	OSM
CDH15	OSM
TNFRSF11A	OSM
CRLF2	PECAM1
MMP17	PECAM1
KAT6A	PECAM1
ESR1	PECAM1
PRSS7	PECAM1
GAS1	PECAM1
ANGPTL3	PECAM1
EPO	PECAM1
TGFB3	PECAM1
MMP10	PECAM1
Plasmin	PECAM1
MDM2	PECAM1
IL28A	PECAM1
GREM1	PECAM1
ADAMTS15	PSPN
PPBP-pep2	PF4
SERPINA3	PF4
MAPKAPK5	PF4
TF	PF4
EIF4EBP2	PF4
PPBP-pep3	PF4
