CNTN1	NTRK3
IL1R1	NTRK3
CD109	NTRK3
LRIG3	NTRK3
CADM1	NTRK3
INSR	NTRK3
IGF1R	NTRK3
ENG	NTRK3
NRCAM	NTRK3
SEMA6A	NTRK3
IgG	TNFRSF17
DSG2	TNFRSF17
SLAMF7	TNFRSF17CDK8
OmpC	TNFRSF17
laminin	DCN
BGN	DCN
RELT	DCN
RPS27A-UbB	CAPN1
RAC1	CAPN1
PTPN11	CAPN1
PRKACA	CAPN1
RPS6KA3	CAPN1
XPNPEP1	CAPN1
CASP3	CAPN1
CA3	CAPN1
MDH1	CAPN1
TPT1	CAPN1
EEF1B2	CAPN1
UBE2N	CAPN1
AKR7A2	CAPN1
VTA1	CAPN1
NME2	CAPN1
NSFL1C	CAPN1
NAPA	CAPN1
TKT	CAPN1
TPI1	CAPN1
RPS27A	CAPN1
PPIF	CAPN1
STIP1	CAPN1
MB	CKM
CCDC80	CKM
CKB-CKM	CKM
CA3	CKM
MDH1	CKM
FABP3	CKM
MAPK12	CKM
IMPDH2	CKM
PECAM1	TDGF1
MMP17	TDGF1
ICOS	TDGF1
PRSS7	TDGF1
GAS1	TDGF1
ENTPD3	TDGF1
HS6ST1	TDGF1
MET	EGFR
CNTN1	EGFR
IL19	EGFR
DLL4	EGFR
CHL1	EGFR
IGF2R	EGFR
A2M	EGFR
Thrombin	EGFR
SLPI	EGFR
NCAM1	EGFR
NTRK2	EGFR
NOTCH1	EGFR
ROBO2	EGFR
ALCAM	EGFR
LTF	HGF
RETN	HGF
PGLYRP1	HGF
OLR1	HGF
JAM2	HSPD1
PIK3CG	HSPD1
BSG	HSPD1
CD84	HSPD1
DAPK2	HSPD1
SFN	HSPD1
ROBO2	HSPD1
PDE3A	HSPD1
TF	C3B-inac
CFD	IGFBP5
IGF1	IGFBP5
F7	IGFBP5
TF	IGFBP5
C5A	IGFBP6
CFD	IGFBP6
IGFBP4	IGFBP6
SERPINF2	IGFBP6
ADAMTS13	IGFBP6
F7	IGFBP6
C1R	IGFBP6
GFRA1	IGFBP6
SERPINA5	IGFBP6
FN1-frag3	IGFBP6
SPARCL1	IGFBP6
SERPING1	IGFBP6
ITIH4	IGFBP6
GOT1	IGFBP6
DBNL	IGFBP6
LAG3	IGFBP6
CXCL12	MIA
CXCL10	MIA
DPT	MIA
TNFSF18	OSM
CCL1	OSM
AIF1	OSM
HDAC8	OSM
DSG1	OSM
JAM2	OSM
ARSB	OSM
CTSD	OSM
ENTPD1	OSM
KLK12	OSM
FOLH1	OSM
FCN2	OSM
PIK3CG	OSM
STAB2	OSM
CAMK1D	OSM
FLT3	OSM
KLK6	OSM
STK16	OSM
MASP1	OSM
EPHB4	OSM
LGMN	OSM
CDC42BPB	OSM
OPCML	OSM
RBP4	OSM
CD84	OSM
DKKL1	OSM
PPP3R1	OSM
COLEC12	OSM
KLK14	OSM
IL5	OSM
DAPK2	OSM
DYRK3	OSM
TPM2	OSM
ZAP70	OSM
CLU	OSM
ADCYAP1-27	OSM
HSD17B1	OSM
APOD	OSM
PDIA3	OSM
SMPDL3A	OSM
CMPK1	OSM
SFN	OSM
IL1RAPL2	OSM
PDE2A	OSM
STK17B	OSM
MAP3K7	OSM
BCAR3	OSM
CALR	OSM
CDH15	OSM
TNFRSF11A	OSM
SIGLEC6	PECAM1
CRLF2	PECAM1
MMP17	PECAM1
KAT6A	PECAM1
ESR1	PECAM1
CD4	PECAM1
PRSS7	PECAM1
GAS1	PECAM1
ANGPTL3	PECAM1
FCGR1A	PECAM1
IL24	PECAM1
ABL1	PECAM1
EPO	PECAM1
TGFB3	PECAM1
MMP10	PECAM1
CCL13	PECAM1
Plasmin	PECAM1
IL28A	PECAM1
ENTPD3	PECAM1
GREM1	PECAM1
LTA	PECAM1
OLFM4	PECAM1
PPBP-pep2	PF4
SERPINA3	PF4
MPL	PF4
MAPKAPK5	PF4
PPBP-pep3	PF4
F10A	PROS1
TFPI	PROS1
BMP1	PROS1
SELE	PROS1
SST	PROS1
F10	PROS1
SHBG	PROS1
IL22RA1	TNFRSF13B
KIRREL3	TNFRSF13B
CCNB1	TNFRSF13B
THBS2	CCL25
INHBA	SERPINA7
RET	SERPINA7
FETUB	SERPINA7
TFF3	SERPINA7
SHBG	SERPINA7
CSF3R	TNFSF18
IL1F7	TNFSF18
ARG1	TNFSF18
CD22	TNFSF18
WISP1	TNFSF18
CA10	TNFSF18
AURKB	TNFSF18
BIRC5	TNFSF18
MASP1	TNFSF18
EPHB4	TNFSF18
PRSS27	TNFSF18
OPCML	TNFSF18
PPP3R1	TNFSF18
COLEC12	TNFSF18
KLK14	TNFSF18
IL5	TNFSF18
TPO	TNFSF18
DYRK3	TNFSF18
SPHK2	TNFSF18
TPM2	TNFSF18
HSD17B1	TNFSF18
APOD	TNFSF18
CMPK1	TNFSF18
AGR2	TNFSF18
RB1	TNFSF18
PDE2A	TNFSF18
STK17B	TNFSF18
CDH15	TNFSF18
BCAM	CNTFR
NBL1	CNTFR
IL1R1	CNTFR
PDCD1LG2	CNTFR
IL18BP	CNTFR
HTRA2	CNTFR
LRIG3	CNTFR
CADM1	CNTFR
IGF1R	CNTFR
SLITRK5	CNTFR
EPHA2	CNTFR
ENG	CNTFR
UNC5D	CNTFR
KLK6	AIMP1
CAMK1	AIMP1
LY86	AIMP1
C1QBP	AIMP1
PDK1	AIMP1
IMPDH2	AIMP1
PIM1	AIMP1
LGALS4	EPOR
SEZ6L2	EPOR
LIN7B	EPOR
C1R	CSF3R
FLT3	CSF3R
NTRK1	CSF3R
HSD17B1	CSF3R
TNFRSF10A	CSF3R
BCAR3	CSF3R
ARG1	IL1F7
CD22	IL1F7
PAK3	IL1F7
FLT3	IL1F7
BIRC5	IL1F7
NTRK1	IL1F7
CDH6	IL1F7
MASP1	IL1F7
EPHB4	IL1F7
LGMN	IL1F7
PRSS27	IL1F7
CDC42BPB	IL1F7
OPCML	IL1F7
RBP4	IL1F7
DKKL1	IL1F7
PPP3R1	IL1F7
COLEC12	IL1F7
IL5	IL1F7
TPO	IL1F7
DYRK3	IL1F7
TPM2	IL1F7
SH2D1A	IL1F7
ADCYAP1-38	IL1F7
